Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Weight,Price_euros,SSD,HDD,Hybrid,Flash_Storage,Cpu_brand,Cpu_speed,price_per_inch
Acer,Notebook,15.6,1366x768,6,Intel HD Graphics 620,Windows 10,2.23,549.0,0,1024,0,0,Intel Core i5 7200U,2.5,35.19230769230769
Asus,Ultrabook,15.6,Full HD 1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.7,1049.9,256,0,0,0,Intel Core i7 7500U,2.7,67.30128205128206
HP,Ultrabook,12.5,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.26,1335.0,256,0,0,0,Intel Core i7 7500U,2.7,106.8
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,32,Nvidia GeForce GTX 1050,Windows 10,2.06,2639.0,1024,0,0,0,Intel Core i7 7700HQ,2.8,169.16666666666666
MSI,Gaming,17.3,Full HD 1920x1080,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1199.0,256,1024,0,0,Intel Core i7 7700HQ,2.8,69.30635838150289
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,2.0,943.0,256,0,0,0,Intel Core i5 7200U,2.5,60.44871794871795
Asus,Notebook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,2.0,1334.0,256,1024,0,0,Intel Core i7 7500U,2.7,95.28571428571428
Lenovo,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 520,Windows 10,1.85,449.0,0,1024,0,0,Intel Core i3 6006U,2.0,28.78205128205128
Asus,Gaming,15.6,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.5,999.0,256,0,0,0,Intel Core i7 7700HQ,2.8,64.03846153846153
HP,Notebook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.48,1268.0,256,0,0,0,Intel Core i5 7300U,2.6,90.57142857142856
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.9,1049.0,128,1024,0,0,Intel Core i5 8250U,1.6,67.24358974358975
HP,Notebook,15.6,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.84,1144.0,256,0,0,0,Intel Core i5 7200U,2.5,73.33333333333333
Asus,Notebook,15.6,1366x768,4,Intel HD Graphics 500,Linux,2.0,274.99,0,1024,0,0,Intel Celeron Dual Core N3350,1.1,17.627564102564104
Dell,Notebook,15.6,Full HD 1920x1080,8,Nvidia GeForce 940MX,Windows 10,2.0,1142.75,256,0,0,0,Intel Core i5 8250U,1.6,73.25320512820512
Dell,Notebook,15.6,1366x768,4,Intel HD Graphics,Linux,2.2,274.9,0,500,0,0,Intel Celeron Dual Core N3060,1.6,17.621794871794872
Lenovo,Notebook,15.6,Full HD 1920x1080,12,AMD Radeon 530,Windows 10,2.2,899.0,0,2048,0,0,AMD A12-Series 9720P,3.6,57.62820512820513
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce 930MX ,Windows 10,2.1,716.0,0,1024,0,0,Intel Core i3 7100U,2.4,45.8974358974359
Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16,Intel UHD Graphics 620,Windows 10,1.4,2099.0,512,0,0,0,Intel Core i7 8550U,1.8,151.0071942446043
Dell,Ultrabook,13.3,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.2,1579.0,256,0,0,0,Intel Core i7 8550U,1.8,118.7218045112782
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,1129.0,256,2048,0,0,Intel Core i7 7700HQ,2.8,72.37179487179488
HP,Notebook,14.0,1366x768,2,Intel HD Graphics 400,Windows 10,1.44,279.0,0,0,0,32,Intel Celeron Dual Core N3060,1.6,19.928571428571427
Dell,Ultrabook,15.6,Full HD 1920x1080,16,Intel UHD Graphics 620,Windows 10,1.88,1607.96,768,0,0,0,Intel Core i7 8650U,1.9,103.07435897435896
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,4,Intel HD Graphics 500,Windows 10,1.5,375.0,0,0,0,32,Intel Celeron Dual Core N3350,1.1,32.327586206896555
Dell,Ultrabook,15.6,Full HD 1920x1080,8,AMD Radeon 530,Windows 10,1.9,663.0,0,1024,0,0,Intel Core i5 8250U,1.6,42.5
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,16,Nvidia GeForce GTX 1050,Windows 10,2.06,2027.42,512,0,0,0,Intel Core i7 7700HQ,2.8,129.9628205128205
HP,Notebook,15.6,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.84,1304.0,256,0,0,0,Intel Core i7 7500U,2.7,83.58974358974359
MSI,Gaming,17.3,Full HD 1920x1080,8,Nvidia GeForce GTX 1060,Windows 10,2.7,1409.0,128,1024,0,0,Intel Core i7 7700HQ,2.8,81.44508670520231
HP,Workstation,15.6,Full HD 1920x1080,8,Nvidia Quadro M1200,Windows 10,2.6,1738.27,256,0,0,0,Intel Core i7 7700HQ,2.8,111.4275641025641
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,16,Nvidia GeForce 930M,Windows 10,2.4,1403.0,512,0,0,0,Intel Core i7 6500U,2.5,89.93589743589745
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 530,Windows 10,2.02,970.9,128,2048,0,0,Intel Core i7 8550U,1.8,62.23717948717949
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 500,No OS,2.2,321.99,0,1024,0,0,Intel Celeron Dual Core N3350,1.1,20.64038461538461
Dell,Gaming,15.6,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.65,999.0,0,1024,0,0,Intel Core i5 7300HQ,2.5,64.03846153846153
Dell,Notebook,15.6,Touchscreen 1366x768,8,Intel HD Graphics 620,Windows 10,2.36,557.37,0,2048,0,0,Intel Core i5 7200U,2.5,35.72884615384616
Dell,Notebook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.36,1427.0,256,0,0,0,Intel Core i5 7300U,2.6,101.92857142857144
HP,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,1.86,439.0,0,500,0,0,Intel Core i3 6006U,2.0,28.14102564102564
Asus,Notebook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,2.0,945.0,256,0,0,0,Intel Core i5 7200U,2.5,67.5
Lenovo,Notebook,17.3,1600x900,6,Nvidia GeForce GTX 940MX,Windows 10,2.8,719.0,128,1024,0,0,Intel Core i5 7200U,2.5,41.56069364161849
HP,Notebook,15.6,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.86,639.0,0,1024,0,0,Intel Core i5 7200U,2.5,40.96153846153846
Lenovo,Notebook,15.6,1366x768,8,Nvidia GeForce 920MX ,No OS,2.2,499.0,256,0,0,0,Intel Core i3 6006U,2.0,31.98717948717949
HP,Notebook,15.6,1366x768,8,Intel HD Graphics 405,Windows 10,2.04,389.0,0,2048,0,0,Intel Pentium Quad Core N3710,1.6,24.93589743589744
Dell,Notebook,17.3,Full HD 1920x1080,8,AMD Radeon 530,Windows 10,2.8,1085.0,128,1024,0,0,Intel Core i5 8250U,1.6,62.71676300578034
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce GTX 1050,No OS,2.4,809.0,128,1024,0,0,Intel Core i5 7300HQ,2.5,51.85897435897436
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon R7 M445,Windows 10,2.33,899.0,256,0,0,0,Intel Core i7 7500U,2.7,57.62820512820513
HP,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.36,1750.0,256,0,0,0,Intel Core i7 7500U,2.7,125.0
Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,12,Nvidia GeForce GT 940MX,Windows 10,2.26,1099.0,512,2048,0,0,Intel Core i7 7500U,2.7,70.44871794871796
Acer,Notebook,15.6,1366x768,4,AMD Radeon R5,Windows 10,2.1,426.0,128,0,0,0,AMD A9-Series 9420,3.0,27.307692307692307
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,16,AMD Radeon RX 580,Windows 10,3.25,2199.0,256,1024,0,0,AMD Ryzen 1700,3.0,127.10982658959536
Lenovo,Notebook,17.3,1600x900,4,AMD Radeon R5,Windows 10,2.6,489.0,128,0,0,0,AMD A8-Series 7410,2.2,28.265895953757223
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.62,869.01,256,0,0,0,Intel Core i7 8550U,1.8,65.3390977443609
HP,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon R5,Windows 10,1.91,488.99,256,0,0,0,AMD A9-Series 9420,3.0,31.345512820512823
Lenovo,Netbook,11.6,IPS Panel 1366x768,4,Intel HD Graphics 500,Windows 10,1.59,553.0,128,0,0,0,Intel Celeron Quad Core N3450,1.1,47.67241379310345
Dell,Notebook,15.6,1366x768,4,Intel HD Graphics 400,Windows 10,1.8,309.0,0,500,0,0,Intel Celeron Dual Core N3060,1.6,19.807692307692307
Asus,Notebook,14.0,1366x768,4,Intel HD Graphics 500,Windows 10,1.5,286.0,0,0,0,32,Intel Celeron Dual Core N3350,1.1,20.428571428571427
Acer,Notebook,15.6,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Linux,2.4,846.0,0,1024,0,0,Intel Core i7 7700HQ,2.8,54.23076923076923
HP,Gaming,17.3,IPS Panel Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,3.35,1191.0,128,1024,0,0,Intel Core i7 7700HQ,2.8,68.84393063583815
Lenovo,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 520,No OS,1.85,403.5,128,0,0,0,Intel Core i3 6006U,2.0,25.865384615384617
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce GTX 1060,Windows 10,2.3,1655.0,128,1024,0,0,Intel Core i7 7700HQ,2.8,106.0897435897436
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.5,1099.0,256,0,0,0,Intel Core i5 7200U,2.5,78.5
Asus,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,16,Intel HD Graphics 620,Windows 10,1.1,1748.9,512,0,0,0,Intel Core i7 7500U,2.7,131.49624060150376
Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,8,Intel HD Graphics 620,Windows 10,1.13,2282.0,512,0,0,0,Intel Core i7 7500U,2.7,163.0
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,4,Intel HD Graphics 620,Windows 10,1.5,549.0,128,0,0,0,Intel Core i3 7100U,2.4,41.2781954887218
Dell,Workstation,15.6,Full HD 1920x1080,8,AMD FirePro W5130M,Windows 10,2.23,1369.0,0,500,0,0,Intel Core i5 6440HQ,2.6,87.75641025641026
Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,8,Nvidia Quadro M1200,Windows 10,2.0,2135.0,256,0,0,0,Intel Core i7 6820HQ,2.7,136.85897435897436
Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,16,Intel HD Graphics 620,Windows 10,1.42,2509.0,512,0,0,0,Intel Core i7 7500U,2.7,179.21428571428572
Asus,Gaming,17.3,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,3.0,1039.0,0,1024,0,0,Intel Core i7 7700HQ,2.8,60.05780346820809
Asus,Gaming,17.3,Full HD 1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,3.0,1591.0,256,1024,0,0,Intel Core i7 7700HQ,2.8,91.96531791907516
Acer,Notebook,15.6,IPS Panel 1366x768,12,Nvidia GeForce MX130,Windows 10,2.2,693.99,0,1024,0,0,Intel Core i5 8250U,1.6,44.48653846153847
MSI,Gaming,17.3,Full HD 1920x1080,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1349.0,256,0,0,0,Intel Core i7 7700HQ,2.8,77.97687861271676
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon R7 M445,Linux,2.33,778.87,256,0,0,0,Intel Core i7 7500U,2.7,49.927564102564105
HP,Ultrabook,15.6,Full HD 1920x1080,4,AMD Radeon 520,Windows 10,1.91,499.0,256,0,0,0,AMD A9-Series 9420,3.0,31.98717948717949
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,8,AMD Radeon RX 550,Windows 10,2.1,1229.56,256,0,0,0,Intel Core i7 8550U,1.8,78.81794871794871
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.9,938.0,256,0,0,0,Intel Core i5 7200U,2.5,67.0
Dell,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,8,Nvidia Quadro M1200,Windows 10,1.78,2712.0,256,0,0,0,Intel Core i7 7700HQ,2.8,173.84615384615384
Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,16,Intel HD Graphics 620,Windows 10,1.13,2625.0,1024,0,0,0,Intel Core i7 7500U,2.7,187.5
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 500,Windows 10,2.2,306.0,0,1024,0,0,Intel Celeron Dual Core N3350,1.1,19.615384615384617
Asus,Gaming,17.3,Full HD 1920x1080,16,Nvidia GeForce GTX 1050,Windows 10,2.9,1529.0,256,1024,0,0,Intel Core i7 7700HQ,2.8,88.38150289017341
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,8,AMD Radeon RX 550,Windows 10,2.1,1144.5,256,1024,0,0,Intel Core i5 8250U,1.6,73.36538461538461
Acer,Notebook,15.6,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Linux,2.5,879.0,256,0,0,0,Intel Core i7 7700HQ,2.8,56.34615384615385
MSI,Gaming,17.3,Full HD 1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,2.8,2249.0,256,1024,0,0,Intel Core i7 7700HQ,2.8,130.0
Asus,Ultrabook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.1,1873.0,512,0,0,0,Intel Core i7 7500U,2.7,133.78571428571428
Toshiba,Ultrabook,13.3,Full HD 1920x1080,16,Intel HD Graphics 520,Windows 10,1.2,1747.0,512,0,0,0,Intel Core i7 6500U,2.5,131.35338345864662
Dell,Ultrabook,14.0,Full HD 1920x1080,8,Intel HD Graphics,Windows 10,1.36,1680.0,512,0,0,0,Intel Core i7 7600U,2.8,120.0
Lenovo,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 520,Windows 10,2.2,409.0,0,500,0,0,Intel Core i3 6006U,2.0,26.21794871794872
Lenovo,Notebook,11.6,1366x768,2,Intel HD Graphics 500,Windows 10,1.15,304.45,0,0,0,32,Intel Celeron Dual Core N3350,1.1,26.245689655172413
Lenovo,Workstation,15.6,Full HD 1920x1080,8,Nvidia Quadro M1200,Windows 10,2.67,1925.0,512,0,0,0,Intel Core i7 7700HQ,2.8,123.3974358974359
Lenovo,Ultrabook,14.0,IPS Panel Full HD 2560x1440,8,Nvidia GeForce GT 940MX,Windows 10,1.7,1943.0,512,0,0,0,Intel Core i7 7700HQ,2.8,138.78571428571428
HP,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon 520,Windows 10,2.1,469.0,0,1024,0,0,Intel Core i3 6006U,2.0,30.06410256410257
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8,Intel HD Graphics 520,Windows 10,1.6,789.01,256,0,0,0,Intel Core i7 6500U,2.5,59.324060150375935
Asus,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8,Intel HD Graphics 620,Windows 10,1.27,928.0,256,0,0,0,Intel Core i5 7200U,2.5,69.77443609022556
Dell,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon R5 M430,Linux,2.3,598.9,256,0,0,0,Intel Core i5 7200U,2.5,38.39102564102564
Dell,Notebook,13.3,1366x768,4,Intel HD Graphics 520,Windows 10,1.65,689.0,128,0,0,0,Intel Core i3 6006U,2.0,51.80451127819549
HP,Ultrabook,14.0,Full HD 1920x1080,8,Intel HD Graphics 520,Windows 10,1.43,1500.0,256,0,0,0,Intel Core i7 6500U,2.5,107.14285714285714
Dell,Notebook,15.6,1366x768,8,Intel HD Graphics 620,Windows 10,2.14,539.95,0,1024,0,0,Intel Core i5 7200U,2.5,34.61217948717949
Lenovo,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8,AMD Radeon RX 550,Windows 10,1.75,1215.38,256,0,0,0,Intel Core i7 8550U,1.8,86.81285714285715
Lenovo,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16,Nvidia GeForce GTX 1050,Windows 10,2.0,1899.0,512,0,0,0,Intel Core i7 7700HQ,2.8,121.73076923076924
Chuwi,Notebook,12.3,IPS Panel Retina Display 2736x1824,6,Intel HD Graphics 500,Windows 10,1.4,449.0,0,0,0,64,Intel Celeron Quad Core N3450,1.1,36.5040650406504
HP,Notebook,15.6,Full HD 1920x1080,8,Intel HD Graphics 630,Windows 10,2.31,1427.0,256,0,0,0,Intel Core i7 7820HQ,2.9,91.47435897435898
Asus,Notebook,15.6,Full HD 1920x1080,8,Nvidia GeForce 940MX,Linux,2.3,597.0,0,1024,0,0,Intel Core i3 7100U,2.4,38.26923076923077
Dell,Gaming,17.3,IPS Panel 2560x1440,16,Nvidia GeForce GTX 1070,Windows 10,4.42,2799.0,256,1024,0,0,Intel Core i7 7820HK,2.9,161.79190751445086
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1159.0,128,1024,0,0,Intel Core i7 7700HQ,2.8,74.2948717948718
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 530,Windows 10,2.02,1142.4,256,2048,0,0,Intel Core i7 8550U,1.8,73.23076923076924
Dell,Ultrabook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Linux,1.6,1099.0,256,0,0,0,Intel Core i7 7600U,2.8,78.5
HP,Gaming,17.3,Full HD 1920x1080,12,Nvidia GeForce GTX 1070,Windows 10,3.35,1999.0,256,1024,0,0,Intel Core i7 7700HQ,2.8,115.54913294797689
Mediacom,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,4,Intel HD Graphics 500,Windows 10,1.16,299.0,32,0,0,0,Intel Celeron Dual Core N3350,1.1,25.77586206896552
Samsung,Netbook,11.6,1366x768,4,Intel HD Graphics 400,Chrome OS,1.15,269.0,0,0,0,16,Intel Celeron Dual Core N3060,1.6,23.1896551724138
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.4,1010.0,256,0,0,0,Intel Core i7 7500U,2.7,75.93984962406014
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,4,Intel HD Graphics 620,Windows 10,1.7,599.0,128,0,0,0,Intel Core i3 7130U,2.7,42.785714285714285
Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,16,Nvidia GeForce 940MX,Windows 10,2.3,2445.0,512,0,0,0,Intel Core i7 7600U,2.8,156.73076923076923
Lenovo,Notebook,15.6,Full HD 1920x1080,16,Nvidia Quadro M2200M,Windows 10,2.5,2449.0,512,0,0,0,Intel Core i7 7820HQ,2.9,156.9871794871795
Asus,Gaming,17.3,Full HD 1920x1080,8,AMD Radeon RX 580,Windows 10,3.2,1695.0,256,1024,0,0,AMD Ryzen 1600,3.2,97.97687861271676
HP,Notebook,15.6,1366x768,4,Intel HD Graphics 400,Windows 10,2.1,347.0,0,500,0,0,Intel Celeron Dual Core N3060,1.6,22.243589743589745
Google,Ultrabook,12.3,Touchscreen 2400x1600,16,Intel HD Graphics 615,Chrome OS,1.1,2199.0,512,0,0,0,Intel Core i7 7Y75,1.3,178.78048780487805
Lenovo,Ultrabook,14.0,2560x1440,24,Intel HD Graphics 620,Windows 10,1.32,2382.0,512,0,0,0,Intel Core i7 7500U,2.7,170.14285714285714
Asus,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 620,Linux,2.0,559.0,256,0,0,0,Intel Core i5 7200U,2.5,35.833333333333336
Lenovo,Notebook,17.3,1600x900,8,AMD Radeon R4,Windows 10,2.8,519.0,0,1024,0,0,AMD A6-Series 9220,2.5,30.0
Dell,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon 530,Windows 10,2.2,749.0,256,0,0,0,Intel Core i5 8250U,1.6,48.01282051282051
Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.36,1429.0,256,0,0,0,Intel Core i5 7200U,2.5,114.32
Lenovo,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 505,Windows 10,2.2,349.0,128,0,0,0,Intel Pentium Quad Core N4200,1.1,22.371794871794872
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.2,1099.0,128,1024,0,0,Intel Core i7 7700HQ,2.8,70.44871794871796
Dell,Notebook,14.0,Full HD 1920x1080,8,Nvidia GeForce 930MX,Windows 10,1.64,1179.0,256,0,0,0,Intel Core i5 7440HQ,2.8,84.21428571428571
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Linux,2.4,441.8,0,500,0,0,Intel Core i5 7200U,2.5,28.32051282051282
Dell,Workstation,15.6,Full HD 1920x1080,8,Nvidia Quadro M620,Windows 10,2.23,1993.0,0,1024,0,64,Intel Xeon E3-1505M V6,3.0,127.75641025641026
MSI,Gaming,15.6,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.2,1027.74,256,0,0,0,Intel Core i5 7300HQ,2.5,65.88076923076923
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,16,Intel Iris Plus Graphics 640,Windows 10 S,1.25,2589.0,512,0,0,0,Intel Core i7 7660U,2.5,191.77777777777777
HP,Notebook,15.6,1366x768,8,Intel HD Graphics 620,Windows 10,1.91,589.0,128,0,0,0,Intel Core i5 7200U,2.5,37.756410256410255
Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,16,Nvidia Quadro M620,Windows 10,2.17,1975.0,256,0,0,0,Intel Core i7 6820HQ,2.7,126.6025641025641
HP,Workstation,15.6,IPS Panel Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,2.31,1534.0,512,0,0,0,Intel Core i7 7820HQ,2.9,98.33333333333331
Lenovo,Notebook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.65,1345.0,256,0,0,0,Intel Core i5 7200U,2.5,96.07142857142856
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 530,Windows 10,2.36,979.0,128,1024,0,0,Intel Core i7 8550U,1.8,62.756410256410255
Dell,2 in 1 Convertible,11.6,Touchscreen 1366x768,4,Intel HD Graphics 405,Windows 10,1.47,479.0,0,500,0,0,Intel Pentium Quad Core N3710,1.6,41.293103448275865
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,8,Nvidia GeForce GTX 1060,Windows 10,4.42,2046.0,0,1024,0,0,Intel Core i7 7700HQ,2.7,118.26589595375722
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,4,Intel HD Graphics 615,Windows 10 S,1.252,989.0,128,0,0,0,Intel Core M m3-7Y30,2.2,73.25925925925925
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,8,Intel Iris Plus Graphics 640,Windows 10 S,1.25,1799.0,256,0,0,0,Intel Core i7 7660U,2.5,133.25925925925927
HP,Notebook,17.3,1600x900,8,Intel HD Graphics 520,Windows 10,2.5,639.9,256,0,0,0,Intel Core i3 6006U,2.0,36.98843930635838
Acer,Notebook,15.6,Full HD 1920x1080,4,Nvidia GeForce 940MX,Windows 10,2.23,544.0,0,1024,0,0,Intel Core i3 6006U,2.0,34.87179487179488
Acer,Netbook,11.6,1366x768,4,Intel HD Graphics 400,Windows 10,1.4,435.0,128,0,0,0,Intel Celeron Dual Core N3060,1.6,37.5
Asus,Notebook,15.6,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,2.37,749.0,0,1024,0,0,Intel Core i5 7200U,2.5,48.01282051282051
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,8,AMD Radeon R7 M460,No OS,1.5,799.0,512,0,0,0,Intel Core i7 7500U,2.7,57.07142857142857
Lenovo,Notebook,15.6,Full HD 1920x1080,8,Nvidia Quadro M2200M,Windows 10,2.67,2090.0,256,0,0,0,Intel Core i7 7820HQ,2.9,133.97435897435898
Asus,Notebook,15.6,1366x768,4,Intel HD Graphics 500,Windows 10,2.0,304.0,0,500,0,0,Intel Pentium Quad Core N4200,1.1,19.48717948717949
Acer,Notebook,15.6,1366x768,4,Nvidia GeForce GTX 940MX,Windows 10,2.2,469.0,0,500,0,0,Intel Core i3 6006U,2.0,30.06410256410257
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 530,Windows 10,2.02,759.0,0,2048,0,0,Intel Core i5 8250U,1.6,48.65384615384615
HP,Gaming,17.3,IPS Panel Full HD 1920x1080,12,Nvidia GeForce GTX 1060,Windows 10,3.78,1699.0,0,1024,0,0,Intel Core i7 7700HQ,2.8,98.20809248554912
Lenovo,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,12,Intel HD Graphics 520,Windows 10,1.4,1858.0,256,0,0,0,Intel Core i7 6600U,2.6,132.71428571428572
HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8,Intel UHD Graphics 620,Windows 10,1.29,1999.0,512,0,0,0,Intel Core i7 8550U,1.8,150.30075187969925
HP,Notebook,15.6,Full HD 1920x1080,8,AMD FirePro W4190M ,Windows 10,1.9,1154.0,0,500,0,0,Intel Core i5 7200U,2.5,73.97435897435898
Google,Ultrabook,12.3,Touchscreen 2400x1600,8,Intel HD Graphics 615,Chrome OS,1.1,1275.0,128,0,0,0,Intel Core i5 7Y57,1.2,103.65853658536584
Dell,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.42,1841.85,256,0,0,0,Intel Core i5 8250U,1.6,138.48496240601503
Asus,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,12,Intel HD Graphics 530,Windows 10,2.06,1299.0,128,1024,0,0,Intel Core i7 6700HQ,2.6,83.26923076923077
Dell,Notebook,14.0,1366x768,8,Intel HD Graphics 520,Windows 10,1.79,740.0,128,0,0,0,Intel Core i3 6100U,2.3,52.85714285714285
Dell,Workstation,15.6,Full HD 1920x1080,8,Nvidia Quadro M1200,Windows 10,1.78,2408.0,256,0,0,0,Intel Core i7 7700HQ,2.8,154.35897435897436
Lenovo,Notebook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.7,1364.0,180,0,0,0,Intel Core i5 7200U,2.5,97.42857142857144
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 520,Windows 10,2.2,675.0,0,1024,0,0,Intel Core i5 8250U,1.6,43.26923076923077
Toshiba,Notebook,13.3,IPS Panel Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.05,1672.0,256,0,0,0,Intel Core i5 7200U,2.5,125.71428571428572
Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce 940MX,Windows 10,2.16,1262.0,512,0,0,0,Intel Core i7 8550U,1.8,80.8974358974359
Dell,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,2.18,586.6,0,1024,0,0,Intel Core i3 7100U,2.4,37.6025641025641
